m/z	rtime	p-value	t-score	custom_id	log2fc	name
137.0709	200.99	0.015906519834289864	6.4242949009	C7H8N2O	1.2872085200250076	4-Hydroxy-benzamidine,Benzamidoxime,1,2-Diacylglycerol-Bile-PC-pool,5-Methylnicotinamide,N-Methylnicotinamide,4-Aminobenzamide,3-Aminobenzamide,2-Methylnicotinamide,4-Acetyl-2-methylpyrimidine,Benzohydrazide,2-Aminobenzamide,2-Acetyl-3-methylpyrazine
138.0742	200.99	0.019658041892144422	6.125247691716482	C7H8N2O	1.2998683041235672	4-Hydroxy-benzamidine,Benzamidoxime,1,2-Diacylglycerol-Bile-PC-pool,5-Methylnicotinamide,N-Methylnicotinamide,4-Aminobenzamide,3-Aminobenzamide,2-Methylnicotinamide,4-Acetyl-2-methylpyrimidine,Benzohydrazide,2-Aminobenzamide,2-Acetyl-3-methylpyrazine
139.0753	201.25	0.002102708561586733	9.79830474411418		0.9779107235428697	
221.0956	252.61	0.002102708561586733	-9.66702855228651	C8H16N2O3S,C8H16N2O3S	-1.8014063241377833	Cysteinyl-Valine,Alanylmethionine,Methionyl-Alanine,Valylcysteine,Cysteinyl-Valine,Alanylmethionine,Methionyl-Alanine,Valylcysteine
152.0373	252.61	0.0016191449907200855	-13.080599450525298	C4H9NO3S	-1.6492125452619213	(S)C(S)S-S-Methylcysteine sulfoxide
195.0798	252.61	0.038630997049544626	-5.366036618001933		-3.1219826761070095	
195.0798	275.7	0.002102708561586733	-9.468745649885323	C14H10O	-1.5849306539314725	2-Hydroxyphenanthrene,9-Hydroxyphenanthrene,anthracen-9-ol,Anthrone,4-Hydroxyphenanthrene,3-Hydroxyphenanthrene,1-Hydroxyphenanthrene
237.0902	252.61	0.005745263607574432	-7.795578261411888		-1.4039792717300763	
241.1015	252.87	0.0016191449907200855	-12.151290523944247		-1.265567513575732	
241.1095	252.61	0.002102708561586733	-9.3937211361592		-1.2682387199217864	
242.1047	252.61	0.002102708561586733	-9.431043804533669		-1.231973850407897	
242.1128	253.0	0.002102708561586733	-10.11406806547141		-1.4039920471732437	
217.0616	276.23	0.000510178064273686	-17.657990293648034		-1.6454312417804573	
256.1324	253.0	0.0024589899854231116	-9.091202639535734	C16H17NO2	-1.296002194100918	2-Methoxyphenylmetyrapone,Maoto,Coumarin 102,2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine,N-Methylschinifoline
316.1264	196.23	0.002102708561586733	9.4237308747937	C17H18FN3S	0.38066027135762326	N-(5-Fluoro-2-piperidin-1-ylphenyl)pyridine-4-carbothioamide
294.1445	196.23	0.021805812778676114	5.983888751562015		0.38570828098751875	
297.1588	252.61	0.002102708561586733	-9.485040371030514	C16H17NO2	-2.1247557940095305	2-Methoxyphenylmetyrapone,Maoto,Coumarin 102,2,3,4,5-Tetrahydro-7,8-dihydroxy-1-phenyl-1H-3-benzazepine,N-Methylschinifoline
328.1532	253.92	0.005745263607574432	-7.77972006099596	C19H21NO4,C12H26NO7P	-1.5344222433125303	Norisocorydine,1-[(4R,4Ar,7S,7aR,12bS)-7,9-dihydroxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-11-yl]ethanone,Naloxone,D,L-Stepholidine,(S)-corytuberine,(S)-scoulerine,Laurotetanine,Coreximine,(S)-Boldine,4-[2-(4-Isopropylbenzamido)ethoxy]benzoic acid,1-[(4R,4Ar,7S,7aR,12bS)-7,9-dihydroxy-3-methyl-1,2,4,4a,7a,13-hexahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-7-yl]ethanone,6-Acetylmorphine,(R)-Norisocorydine,Norcorydine,Blood platelet activating factor-acether
332.3308	28.07	0.028511664423688753	5.685787172747391		1.5333835413310197	
332.3308	33.58	0.007052989903426289	7.4240086942478065		1.9305701793562662	
304.2996	28.2	0.01378734319285122	6.620232405820685		1.1064498509321758	
304.2996	33.84	0.006559616755383853	7.5629462121944755		1.3032289009922344	
305.3029	28.07	0.019658041892144422	6.1622103744994945		1.1406416495202407	
305.3029	33.84	0.005122835470456343	8.04635150156863		1.4481586507706936	
477.2042	252.61	0.0020433386212226103	-10.650475058702284	C21H29N6O5P	-2.160487659145776	Vemlidy
478.2071	252.87	0.0020433386212226103	-10.578079509916984	C21H29N6O5P	-2.159890463071882	Vemlidy
479.1985	252.61	0.0020433386212226103	-10.96818335885754	C26H32ClFO5	-2.1920910692480646	Clobetasone butyrate
480.2025	252.61	0.002102708561586733	-9.54595205425433	C26H32ClFO5	-2.284578435858659	Clobetasone butyrate
715.3026	252.87	0.0016191449907200855	-12.376911431794841	C30H50O19	-2.4156181579139044	Hexyl-agarose
716.3053	252.87	0.002039443768713223	-11.355207059799056	C30H50O19	-2.6691290664261196	Hexyl-agarose
