m/z	rtime	p-value	t-score	custom_id	log2fc	name
219.0716	246.3	0.04437849807799136	-4.013650518157458		-1.0410381287360266	
219.0975	361.29	0.016837289236888726	-6.585585949814211	C8H14N2O5	-1.9738999596124245	N-gamma-L-Glutamyl-D-alanine,Serylhydroxyproline,Glutamylalanine,Hydroxyprolyl-Serine,Alanylglutamic acid,gamma-Glutamylalanine
219.1127	27.8	0.049299243886624884	-3.7371229277790667	C12H14N2O2	-1.0475755868970218	3-[(2R)-2-Aminopropyl]indole-1-carboxylic acid,3H-Pyrazol-3-one, 1,2-dihydro-4-(hydroxymethyl)-1,5-dimethyl-2-phenyl-,Methyl 2-amino-3-(1H-indol-3-yl)propanoate,alpha-Methyl-DL-tryptophan,N-Acetylserotonin,Rogletimide,Primidone,Indoximod,Mephenytoin
219.1338	271.47	0.020516563783802424	-5.80330332081198	C9H18N2O4	-2.3678162244170586	Threoninyl-Valine,Serylleucine,Valylthreonine,Leucyl-Serine,Serylisoleucine,1,3-Propanediol, 2,2-diethyl-, dicarbamate,N(epsilon)-(carboxyethyl)lysine,Meprobamate,Isoleucyl-Serine,Threonylvaline,Ser-Leu,N(6)-(1-Carboxyethyl)-L-lysine,Carboxyethyllysine,(2R)-2-Amino-2-[[(1S)-1-carboxyethyl]amino]-4-methylpentanoic acid,Pantothenamide,L-Lysopine,epsilon-(Carboxyethyl)lysine
137.0594	28.07	0.026340066276229666	-4.995245539900453		-1.2325202452962074	
220.0927	333.88	0.036157410072023256	-4.35488412522684	C7H13N3O5	-1.4281933326807952	Asparaginyl-Serine,Serylasparagine
140.0106	265.26	0.025923575265211427	-5.185003548031889	H3O4P,C2H3KO2	-1.595186742908755	Phosphate,Potassium acetate
221.0956	252.61	0.0016830810913441338	-15.5030219477753	C8H16N2O3S,C8H16N2O3S	-2.7593756688265536	Cysteinyl-Valine,Alanylmethionine,Methionyl-Alanine,Valylcysteine,Cysteinyl-Valine,Alanylmethionine,Methionyl-Alanine,Valylcysteine
221.1131	280.3	0.01950689108461189	-6.167067754241391	C8H16N2O5	-1.592064254208001	N(epsilon)-(Carboxymethyl)hydroxylysine,Threonylthreonine,N-Acetyl-b-glucosaminylamine
78.9562	206.9	0.04432755534974902	4.019703248933869		0.465336206005059	
144.9275	206.64	0.021584569556072148	5.645271122916859		0.5033223093703043	
144.9275	213.33	0.025960113188888516	5.045717550492814		0.555500320800423	
146.0923	261.19	0.015196005700409186	-7.801778069225125	C5H11N3O2	-0.8748910884021797	2-Guanidinobutanoic acid,Glutamamide,1-Butyl-1-nitrosourea,Fibrin,4-Guanidinobutanoic acid
146.1175	27.67	0.025929666676355097	-5.120856336016754		-1.404405438092077	
146.1175	330.99	0.035482637266781455	4.404261483780798	C7H15NO2	0.6840867385111942	2-Aminoheptanoic acid,7-Aminoheptanoic acid,4-Trimethylammoniobutanoic acid,Methyl L-leucinate,2-Aminoheptanoate,[(3-Methylbutyl)amino]acetic acid,4-(3-Hydroxypropyl)morpholine
147.0473	27.54	0.03078668092049248	-4.6817188856515815	C6H10O2S,C6H10O2S	-1.4192851893970655	Diallyl sulfone,Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone,Diallyl sulfone,Dihydro-2-methoxy-2-methyl-3(2H)-thiophenone
147.1014	26.88	0.030125215552342415	-4.781856002551961	C7H14O3	-0.4382034475934873	3-hydroxyheptanoic acid,3-Hydroxyisoheptanoic acid,Methyl DL-Leucate,(-)-Butyl L-lactate,Butyl lactate,2-[(Tetrahydrofurfuryl)oxy]ethanol,(+/-)-Ethyl 2-hydroxy-2-methylbutyrate,Ethyl 2-hydroxyisovalerate,Methyl (±)-3-hydroxyhexanoate
91.0587	254.97	0.047037238520610876	-3.8783669520906825	C3H7NO2	-1.820296672966954	beta-Alanine,L-Alanine,N-Hydroxymethyl-N-methylformamide,Dimethylcarbamic acid,(alpha-D-mannosyl)7-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine, isoform A (protein),2-Nitropropane,Ethyl carbamate,D-Alanine,Methyl glycinate,Sarcosine,1-Nitropropane,(2S)-2-Amino-3-hydroxypropanal,Lactamide
190.0821	339.79	0.022247403649488795	-5.506360622960396	C6H11N3O4	-2.078234794115378	Glycyl-Asparagine,Caracemide,Citramide,Glycylglycylglycine,Asparaginylglycine
225.97	210.31	0.03516977107000471	-4.419037486174932		-2.9042679286905546	
190.9926	274.49	0.03223536679088892	4.622112653642095		1.6493254946397435	
226.1648	28.2	0.03733027315633966	-4.285796350602468		-0.4663048436535284	
191.1025	296.0	0.036564982194778876	-4.338337943881171	C7H14N2O4	-1.4667147846868112	Diaminopimelic acid,Alanylthreonine,Threonylalanine,N-(gamma-Glutamyl)ethanolamine,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,(2R,6S)-2,6-Diaminoheptanedioic acid
98.9846	265.26	0.023163516071762903	-5.35834154359814	H3O4P,C2H3KO2	-1.6063118343701994	Phosphate,Potassium acetate
227.1683	28.2	0.047037238520610876	-3.902057269115445		-0.489334513563346	
152.0373	252.61	0.016837289236888726	-7.126247374875512	C4H9NO3S	-2.721926383383355	(S)C(S)S-S-Methylcysteine sulfoxide
152.0566	146.73	0.013847156697513307	-8.025089560664764	C5H9NO2S,C5H9NO2S	-3.055656342489879	Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid
227.96	156.97	0.04500830293044518	3.989262123871105		1.384365217246586	
153.0599	146.73	0.023163516071762903	-5.365279401685247	C5H9NO2S,C5H9NO2S	-3.5119109891808407	Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid
194.0222	199.25	0.030125215552342415	-4.759812031289298		-1.501916989567711	
195.0798	252.61	0.012094439947639925	-8.656950626628914		-5.028115582231107	
195.0798	275.7	0.016837289236888726	-6.8102522418137355	C14H10O	-2.776412613649196	2-Hydroxyphenanthrene,9-Hydroxyphenanthrene,anthracen-9-ol,Anthrone,4-Hydroxyphenanthrene,3-Hydroxyphenanthrene,1-Hydroxyphenanthrene
229.9564	157.5	0.023163516071762903	5.355708144633		1.2346352906425828	
196.0091	274.35	0.016837289236888726	6.403232869738328		0.9307356494913286	
196.0969	28.07	0.04074112923991889	-4.147146227619083		-1.2738796535926618	
231.1702	28.07	0.04305959839293189	-4.0606686217005326	C13H20O3	-1.7396377342409934	Annuionone C,Furfuryl octanoate,Jasmonic acid methyl ester,Epoxyeremopetasinorol,3,5-Dihydroxy-6,7-megastigmadien-9-one,(8alpha,10beta,11beta)-3-Hydroxy-4,15-dinor-1(5)-xanthen-12,8-olide,13-Oxo-9,11-tridecadienoic acid,Methyl jasmonate,Vomifoliol,3-Methylbutyl 2-furanbutanoate,3-Methyl-5-pentyl-2-furanpropanoic acid,Annuionone A,Methyl epijasmonate,Octyl 2-furoate
157.1083	364.97	0.0345394716258109	-4.4620422758721165		-4.044823374797495	
232.1291	281.89	0.016837289236888726	-6.472260834725278	C7H14N2O4	-2.054168219398182	Diaminopimelic acid,Alanylthreonine,Threonylalanine,N-(gamma-Glutamyl)ethanolamine,2-Amino-4-[(2-hydroxy-1-oxopropyl)amino]butanoic acid,(2R,6S)-2,6-Diaminoheptanedioic acid
197.1009	364.44	0.02968353510822097	-4.817719625629727		-2.5000086266698496	
233.1494	33.84	0.04107688999021251	-4.12360346896805	C10H20N2O4	-2.072577247920595	Isoleucyl-Threonine,Thr-Leu,Leucyl-Threonine,Spermic acid 2,Threonylisoleucine,Threonylleucine
198.9744	214.78	0.016837289236888726	-7.170283613207309		-1.1554457539466298	
160.9013	207.16	0.041861482727769496	4.096140679477009	CK2O3	0.5242812341118999	Potassium carbonate (K2CO3)
160.9013	212.81	0.025923575265211427	5.1483393062338365		0.4487714129605074	
161.092	293.87	0.033216729258948446	-4.577494463716924	C6H12N2O3	-1.5837131498807082	D-Alanyl-D-alanine,(S)-Methyl 2,5-diamino-5-oxopentanoate,N-Nitroso(2-hydroxypropyl)(2-oxopropyl)amine,d-Alanyl-l-alanine,4-Acetamido-2-aminobutanoic acid,Daminozide,Alanylalanine
235.0923	371.96	0.033216729258948446	-4.570783640128697		-1.2921650271200456	
161.1284	213.33	0.016837289236888726	-6.424292772499718	C7H16N2O2	-2.550477772453924	Isoputreanine,N2-Methyl-L-lysine,N(6)-Methyllysine,Emeriamine
162.05	221.77	0.0210233063582874	-5.706946311348858		-1.3752170711430267	
162.0953	293.87	0.030125215552342415	-4.76069654732282	C6H12N2O3	-1.615853686145261	D-Alanyl-D-alanine,(S)-Methyl 2,5-diamino-5-oxopentanoate,N-Nitroso(2-hydroxypropyl)(2-oxopropyl)amine,d-Alanyl-l-alanine,4-Acetamido-2-aminobutanoic acid,Daminozide,Alanylalanine
162.8994	207.16	0.016837289236888726	6.755928897736439		0.6326629620308069	
162.8994	212.94	0.04531904179114028	3.965710590955014		0.47750584908364146	
163.0712	315.04	0.04500830293044518	-3.9863572457239	C5H10N2O4	-1.7061687734121946	Glutamine hydroxamate,Glycyl-Serine,L-4-Hydroxyglutamine,(2S)-2-Amino-5-aminooxy-5-oxopentanoic acid,O-Glycylserine,Serylglycine
237.0902	252.61	0.021619676292566593	-5.596457572011322		-2.290297610897703	
237.1233	27.8	0.04992540616646627	-3.7186652769112403	C14H11NO2,C8H12N5OP,C6H15N3O4S	-1.9321348091507389	Methyl 3-carbazolecarboxylate,6-Methoxy-9H-carbazole-3-carboxaldehyde,Mukolidine,Murrayanine,1-Hydroxy-10-methylacridone,9-[2-(Phosphanylmethoxy)ethyl]purin-6-amine,Galegine
164.0741	27.54	0.03768919354704284	-4.262316812178795	C5H10N2O4	-1.296029650251647	Glutamine hydroxamate,Glycyl-Serine,L-4-Hydroxyglutamine,(2S)-2-Amino-5-aminooxy-5-oxopentanoic acid,O-Glycylserine,Serylglycine
164.0741	315.04	0.047037238520610876	-3.881471279773506	C5H10N2O4	-1.707706790272674	Glutamine hydroxamate,Glycyl-Serine,L-4-Hydroxyglutamine,(2S)-2-Amino-5-aminooxy-5-oxopentanoic acid,O-Glycylserine,Serylglycine
238.1267	27.8	0.049299243886624884	-3.740730036125403	C14H11NO2,C8H12N5OP,C6H15N3O4S	-1.9776019407286185	Methyl 3-carbazolecarboxylate,6-Methoxy-9H-carbazole-3-carboxaldehyde,Mukolidine,Murrayanine,1-Hydroxy-10-methylacridone,9-[2-(Phosphanylmethoxy)ethyl]purin-6-amine,Galegine
118.0613	260.11	0.019574754183960895	6.055904910136649	C3H7N3O2	2.439122609125011	(Diaminomethylideneamino) acetate,Guanidoacetic acid,1-Ethyl-1-nitrosourea,n-ethyl-n'-nitrosourea
239.038	253.92	0.021619676292566593	-5.606422101165917		-3.7739418080038973	
203.0526	217.3	0.01950689108461189	-6.114914165434579		-2.0602632441140756	
239.1023	220.19	0.025960113188888516	-5.0903233425996195	C11H14N2O4	-2.4199462493704615	Glycyl-Tyrosine,gamma-Glutaminyl-4-hydroxybenzene,Falimint,Tyrosylglycine,Tyr-Gly,Glycyltyrosine,Felbamate
120.9873	221.51	0.016837289236888726	6.788105483304826		0.7406627156976597	
204.0978	331.91	0.022082279866060366	-5.558361899965148	C7H13N3O4	-2.1704630277990624	Glycyl-Gamma-glutamate,Glutaminylglycine,Asparaginylalanine,Alanylasparagine,Glycyl-Glutamine
204.9673	211.89	0.016837289236888726	7.311525306472306		1.0419016328309745	
205.0682	215.73	0.03356966881755122	-4.5395088676499205		-1.317604727381763	
241.1015	252.87	0.002051439040587647	-13.898987466698692		-2.0342356679334053	
241.1095	252.61	0.0016830810913441338	-15.793003253368225		-2.0039275110787216	
241.1837	26.88	0.04339410841486313	-4.048668619953598	C12H20O4	-0.4328849529077381	Traumatic acid,Butanedioic acid, octenyl-,5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid
242.0182	213.07	0.016837289236888726	-7.148577886385249		-3.655934361520792	
242.1047	252.61	0.0016830810913441338	-17.059939546325808		-1.9530083715788642	
242.1128	253.0	0.03068245634200246	-4.692911819804901		-3.064182538650865	
242.9617	206.77	0.016837289236888726	6.654767820874062		0.8214447708411328	
207.0798	243.24	0.016837289236888726	-6.83483397084881	C7H14N2O3S,C15H10O	-2.102874086329887	Aldicarb sulfoxide,Glycyl-Methionine,Methionyl-Glycine,9-Anthraldehyde,ANTHRACENECARBOXALDEHYDE,Diphenylcyclopropenone
208.1009	300.86	0.04742824713776831	-3.8615751654702457	C7H14N2O5	-1.2640693239041028	(2S)-2-Amino-3-[(2S,3R)-2-amino-3-hydroxybutanoyl]oxypropanoic acid,(2S,3R)-2-Amino-3-[(2S)-2-amino-3-hydroxypropanoyl]oxybutanoic acid,Threonylserine,Serylthreonine
245.1858	27.8	0.047037238520610876	-3.9079516840302433		-2.276528900769037	
174.0386	145.55	0.007032132063511184	-9.67725480396809	C5H9NO2S,C5H9NO2S	-3.2017605468406245	Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid,Thiomorpholine 3-carboxylate,2-Methylthiazolidine-4-carboxylic acid
246.1811	411.58	0.025923575265211427	-5.133831027684065	C11H23N3O3	-1.1519292238589358	Lysylvaline,Valyllysine
210.1416	28.2	0.04500830293044518	-3.9904603501147804		-0.47130555215690606	
133.0859	26.75	0.016837289236888726	-6.8225819316967105		-0.7344057298867739	
247.0579	265.39	0.01950689108461189	-6.082308089014474	C6H15O8P	-1.538126030391112	Glycerophosphoglycerol
175.1077	246.3	0.02675554165951873	-4.957110562389577	C7H14N2O3	-1.3180081500485805	N2-Acetylornithine,Valylglycine,Glycylvaline,L-Theanine,N5-Acetylornithine,N(5)-Acetylornithine,val-gly,Formyllysine,Gly-Norvaline
247.1593	384.83	0.016837289236888726	-6.460362196045656	C9H19N5O3	-2.4135739962710296	Alanylarginine,Arginylalanine,beta-Alanyl-L-arginine
247.1844	362.08	0.04882030957312675	-3.8042444619817983		-1.2363947884754651	
247.1844	411.58	0.03676032110845739	-4.32112991595785	C11H23N3O3	-2.908984755951341	Lysylvaline,Valyllysine
248.0215	367.1	0.035487663484494406	4.397627876607431		1.177145214844181	
134.106	178.77	0.034764021829873655	-4.4428768788569775		-1.993999578750671	
