m/z	rtime	p-value	t-score	custom_id	log2fc	name
136.94	209.39	0.027540502333587142	9.955956487103025	H3O4P,C2H3KO2	0.33888953696679636	Phosphate,Potassium acetate
137.0709	200.99	0.029615217931761646	8.723064112419417	C7H8N2O	1.1912116261970915	4-Hydroxy-benzamidine,Benzamidoxime,1,2-Diacylglycerol-Bile-PC-pool,5-Methylnicotinamide,N-Methylnicotinamide,4-Aminobenzamide,3-Aminobenzamide,2-Methylnicotinamide,4-Acetyl-2-methylpyrimidine,Benzohydrazide,2-Aminobenzamide,2-Acetyl-3-methylpyrazine
137.9433	209.39	0.02831475639028949	9.32687757779538	H3O4P,C2H3KO2	0.34544496055236706	Phosphate,Potassium acetate
138.9381	209.39	0.027714939815755364	9.83097992920627		0.33953580406572215	
139.9415	209.26	0.021104143857775447	12.380856963301156		0.40820969345728386	
140.9362	209.13	0.027877899512965612	9.712970302739004		0.3607718163800513	
220.9014	209.39	0.03622923278785652	8.134445396896774		0.40273289860225603	
81.9883	209.39	0.04199764961867313	7.62050394781015		0.24769406701959085	
84.9117	211.76	0.02831475639028949	9.563507329947738		0.3259195874243339	
147.1014	26.88	0.029615217931761646	-8.697287179945342	C7H14O3	-0.6927256702728215	3-hydroxyheptanoic acid,3-Hydroxyisoheptanoic acid,Methyl DL-Leucate,(-)-Butyl L-lactate,Butyl lactate,2-[(Tetrahydrofurfuryl)oxy]ethanol,(+/-)-Ethyl 2-hydroxy-2-methylbutyrate,Ethyl 2-hydroxyisovalerate,Methyl (±)-3-hydroxyhexanoate
226.1648	28.2	0.04850140957354572	-6.991758834744507		-0.6189161471065852	
197.1145	146.47	0.029615217931761646	8.854934687784098		0.9669499889100592	
234.8088	211.63	0.021104143857775447	-12.310397309604708		-0.4027160424677163	
235.0923	371.96	0.023297000059282626	-10.932906881711693		-0.47963714193473805	
237.9184	209.53	0.04780239278926381	7.146957293267359		0.3739522856304909	
118.0613	260.11	0.006932384300298224	19.91119443853445	C3H7N3O2	1.6209926576598939	(Diaminomethylideneamino) acetate,Guanidoacetic acid,1-Ethyl-1-nitrosourea,n-ethyl-n'-nitrosourea
238.9131	209.39	0.049828674344585905	6.811016296910009		0.3705076129896625	
241.1837	26.88	0.03728022220798174	-7.965465046920135	C12H20O4	-0.6559731207567054	Traumatic acid,Butanedioic acid, octenyl-,5-Heptyltetrahydro-2-oxo-3-furancarboxylic acid
206.1004	165.9	0.034651340830202305	8.287768993278483	C11H12N2O2	0.7085992421702265	3h-Indole-3-propanoic acid,a-amino-,S-nirvanol,(±)-Tryptophan,Ethotoin,L-Tryptophan,3-Hydroxymethylantipyrine,4-Hydroxyantipyrine,D-Tryptophan,Nirvanol,Idazoxan
170.0599	165.9	0.04463268472521332	7.363012445582886	C11H7NO	0.6301192638391022	1-Naphthyl isocyanate
246.1811	362.48	0.04850140957354572	-6.9420506589419215		-0.8153242379583823	
210.1416	28.2	0.04780239278926381	-7.154667690616013		-0.6341727292390651	
247.1844	362.08	0.03728022220798174	-7.99626067278374		-1.0758026137759913	
176.0294	187.7	0.04850140957354572	6.932325663845371		0.3579777415415748	
252.0725	303.88	0.021104143857775447	-12.110923653870811		-0.7876802299583119	
283.1287	203.22	0.04850140957354572	-6.929980993072416	C13H18N2O5	-0.8713479863825242	Hydroxy-lacosamide,Threonyltyrosine,Tyrosyl-Threonine
284.2065	27.41	0.029615217931761646	-8.815908216652304		-0.7420146015891902	
