m/z	rtime	p-value	t-score	custom_id	log2fc	name
176.075	297.79	0.028910540708764993	-5.147636718643685		-1.361638827378389	
176.075	313.81	0.03697145970994357	-4.638854437579408		-1.6268818936801352	
212.8389	141.44	0.04911235397203996	4.003467448469368		0.4792569473247781	
179.8819	367.18	0.03515689690480239	4.756015400383912		1.3280657301172774	
93.0335	33.8	0.04394391425238122	-4.31288198354284		-0.5078270340035331	
215.1397	172.81	0.04911235397203996	-3.999506905147247	C10H20N2O3	-1.4285878234835288	Valylvaline
216.0986	307.64	0.028910540708764993	-5.197230266407218	C6H12N2O4	-1.2209794854349347	N5-formyl-N5-hydroxy-L-ornithine,Ethylenediamine-N,N'-diacetic acid,Alanylserine,Threonylglycine,Serylalanine,Glycyl-Threonine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid
216.9185	366.92	0.04869583652653163	4.08810794880484	C4H7Cl3O	0.3751436706760565	Chlorobutanol
217.0481	194.57	0.04559164761712203	-4.235970619459425		-1.4659639530726025	
217.0826	361.67	0.00624749169417933	-10.862104962632099	C8H6O4	-1.9987963892561105	Terephthalic acid,3,4-Methylenedioxybenzoic acid,Benzoquinoneacetic acid,Phthalic acid
144.9036	353.4	0.028910540708764993	5.211385844631702		0.37552374728056037	
218.0779	334.2	0.03015948982899574	-5.058858666133979	C7H13N3O5	-1.26366109376416	Asparaginyl-Serine,Serylasparagine
218.086	361.8	0.02262503502804418	-6.278463933951504	C8H6O4	-2.898612438270831	Terephthalic acid,3,4-Methylenedioxybenzoic acid,Benzoquinoneacetic acid,Phthalic acid
219.0451	194.83	0.04380499201499681	-4.339408215341493		-1.3468620305933285	
146.8658	152.26	0.04911235397203996	4.058831584573421		0.584613476703904	
101.0709	301.08	0.03367190184533097	-4.881669001443334		-1.7527710354990163	
185.0925	290.18	0.026038601988248016	-5.585756563618758	C8H14N2O3	-1.287523447897314	Alanylproline,Prolyl-Alanine
