m/z	rtime	p-value	t-score	custom_id	log2fc	name
132.9453	151.74	0.04582635029168882	5.251946543186538		1.1012392403881321	
132.9453	206.55	0.0497833785308102	-4.862554401478239		-0.7986432328996997	
175.0353	319.99	0.008967683687740568	16.612052310430474		2.7870794917892567	
175.0433	299.5	0.04367165608008879	5.4968977783289095		0.8942233809957791	
210.1577	30.52	0.04159793000197559	-6.501015826366601		-3.513690262551224	
210.1577	33.93	0.02091780417676688	-11.383303041320419	C13H22O2	-3.6082370209639727	Cepanone,Neryl propionate,Methyl (2E,6Z)-dodecadienoate,alpha-Terpineol propanoate,Propyl 2,4-decadienoate,Tsibulin 1,2-Propenyl cyclohexanebutanoate,Octahydro-2,5,5,8a-tetramethyl-7H-1-benzopyran-7-one,Linalyl propionate,(+/-)-trans- and cis-4,8-Dimethyl-3,7-nonadien-2-yl acetate,Citral propylene glycol acetal,2-Nonyl-1,4-dioxine,Isobornyl propionate,Artemisyl propionate
134.9425	152.0	0.04159793000197559	6.059979732609922		3.4616883650831944	
213.8832	41.28	0.04585243679691394	-5.163419476029849		-1.140097353290102	
213.8832	41.94	0.04585243679691394	-5.1893554127411745		-0.6932044740137613	
140.0108	298.71	0.04478620211794524	5.36847651853214		2.116098369452999	
215.1397	172.81	0.04159793000197559	-6.002662995800416	C10H20N2O3	-2.203339229148586	Valylvaline
181.8368	152.13	0.029408463947517352	8.343616941718285		4.5032155445809785	
216.0986	307.64	0.04159793000197559	-6.419966764115976	C6H12N2O4	-1.5545799158249736	N5-formyl-N5-hydroxy-L-ornithine,Ethylenediamine-N,N'-diacetic acid,Alanylserine,Threonylglycine,Serylalanine,Glycyl-Threonine,(2S)-2-Amino-3-[(2S)-2-aminopropanoyl]oxypropanoic acid
216.9185	366.92	0.042361390632524254	5.919473231422669	C4H7Cl3O	0.8651275255020323	Chlorobutanol
217.0481	194.57	0.04159793000197559	-6.435909800670123		-1.3603513002764558	
217.0826	218.36	0.04159793000197559	-6.047575904689483	C10H12O5	-2.2412555749009186	Vanillactic acid,Propyl gallate,Eudesmic acid,3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid,Danielone,3,4-Dihydroxyphenyllactic acid methyl ester,beta-(2-Methoxyphenoxy)-lactic acid,3-Hydroxy-4-methoxyphenyllactic acid,2,3-Dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-1-propanone,Methyl syringate,Valtrate
