m/z	rtime	p-value	t-score	custom_id	log2fc	name
175.0353	319.99	0.029913907012421803	11.049788655198805		3.276876277811752	
218.103	182.16	0.036959729354342004	10.080317926075132	C9H17NO5	2.735285138267564	Pantothenic acid,3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid
219.1063	182.16	0.03986723904893503	8.329617653898254	C9H17NO5	2.8402688297425875	Pantothenic acid,3-[[(2S)-2,4-Dihydroxy-3,3-dimethylbutanoyl]amino]propanoic acid
150.0412	142.23	0.022256157772614058	-15.19213875907081	C5H5N5O,C5H13NS2	-2.3252933592106295	8-Oxo-7,8-dihydrodeoxyguanine,8-Hydroxyadenine,Guanine,2-Hydroxyadenine,(S)-2-Amino-4-methylsulfanyl-butane-1-thiol
189.0591	300.68	0.036959729354342004	9.077246660672646		1.8853760711170366	
129.0377	324.98	0.036959729354342004	9.205412076215268	C6H10OS	4.986623759880537	S-2-Propenyl propanethioate,2-Ethyldihydro-3(2H)-thiophenone,2-[(Methylthio)methyl]-2-butenal
201.0876	307.38	0.02767245949451819	-12.457439679549308	C8H14N2O4	-1.5557962499319693	Serylproline,Hydroxyprolyl-Alanine,L-Coprine,Alanylhydroxyproline,Prolyl-Serine
203.0015	30.65	0.022256157772614058	16.947366251832253	C7H8O5S,C7H8O5S	3.4110999801961412	3-Methylcatechol 1-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methoxyphenol sulfate,Sulfuric acid 4-methoxyphenyl ester,3-Methylcatechol 2-sulfate,4-Methylcatechol 2-sulfate,3-Methylcatechol 1-sulfate,4-Methylcatechol 1-sulfate,O-methoxycatechol-O-sulphate,3-Methoxyphenol sulfate,Sulfuric acid 4-methoxyphenyl ester,3-Methylcatechol 2-sulfate,4-Methylcatechol 2-sulfate
174.1069	364.95	0.036959729354342004	-9.080887853144898		-1.4032819495756463	
293.0634	364.69	0.040450470413746595	-8.167311979298793		-1.141644110807725	
276.092	387.14	0.022256157772614058	14.599663775619481	C10H16N2O7	5.103985380566794	D-gamma-Glutamyl-D-glutamic acid,Glutamylglutamic acid,Thymidine glycol,gamma-Glutamylglutamic acid
301.1519	293.46	0.036959729354342004	-9.455853293419391	C12H22N4O5	-1.8250238021293583	Neuromedin B (1-3)
254.991	341.05	0.036959729354342004	9.121267631926893	C6H9O9P	2.4337023056623472	[(2R)-2-[(1S)-1,2-Dihydroxyethyl]-4,5-dioxooxolan-3-yl] dihydrogen phosphate,Vitamin C phosphate,[(5R)-5-[(1S)-1,2-Dihydroxyethyl]-2,4-dioxooxolan-3-yl] dihydrogen phosphate
